month,zipcode,avg_response_hours
2024-03,11209,263.57
2024-03,11210,300.87
2024-03,11211,494.53
2024-03,11212,298.36
2024-03,11213,227.29
2024-03,11214,235.64
2024-03,11215,366.03
2024-03,11216,404.89
2024-03,11217,355.59
2024-03,11218,514.86
2024-03,11219,273.82
2024-03,11220,347.01
2024-03,11221,386.35
2024-03,11222,348.06
2024-03,11223,309.77
2024-03,11224,221.03
2024-03,11225,255.43
2024-03,11226,256.2
2024-03,11228,233.62
2024-03,11229,400.71
2024-03,11230,292.41
2024-03,11231,292.53
2024-03,11232,160.83
2024-03,11233,387.02
2024-03,11234,342.67
2024-03,11235,514.05
2024-03,11236,232.77
2024-03,11237,307.96
2024-03,11238,376.49
2024-03,11239,43.31
2024-03,11241,151.35
2024-03,11242,7.23
2024-03,11249,438.03
2024-03,11251,0.39
2024-03,11354,256.96
2024-03,11355,230.04
2024-03,11356,124.55
2024-03,11357,292.0
2024-03,11358,290.64
2024-03,11359,3.41
2024-03,11360,316.02
2024-03,11361,440.97
2024-03,11362,243.89
2024-03,11363,298.01
2024-03,11364,333.92
2024-03,11365,218.52
2024-03,11366,105.25
2024-03,11367,225.09
2024-03,11368,183.49
2024-03,11369,257.5
2024-03,11370,306.99
2024-03,11371,1023.77
2024-03,11372,282.66
2024-03,11373,171.36
2024-03,11374,193.16
2024-03,11375,271.52
2024-03,11377,161.96
2024-03,11378,194.25
2024-03,11379,417.66
2024-03,11385,269.12
2024-03,11411,258.54
2024-03,11412,257.87
2024-03,11413,335.2
2024-03,11414,353.83
2024-03,11415,278.89
2024-03,11416,286.61
2024-03,11417,302.37
2024-03,11418,309.05
2024-03,11419,296.88
2024-03,11420,356.99
2024-03,11421,102.28
2024-03,11422,279.79
2024-03,11423,229.42
2024-03,11426,575.95
2024-03,11427,245.22
2024-03,11428,229.13
2024-03,11429,180.77
2024-03,11430,1548.2
2024-03,11432,271.0
2024-03,11433,162.49
2024-03,11434,213.55
2024-03,11435,185.84
2024-03,11436,175.29
2024-03,11572,752.32
2024-03,11575,105.93
2024-03,11590,742.87
2024-03,11691,302.63
2024-03,11692,285.21
2024-03,11693,149.57
2024-03,11694,404.82
2024-03,11697,281.67
2024-03,19013,601.53
2024-03,56377,745.47
2024-03,63640,746.8
2024-03,92879,66.49
2024-03,ALL,309.14
2024-04,00083,30.47
2024-04,02184,743.39
2024-04,06468,1671.83
2024-04,07660,356.77
2024-04,10000,166.71
2024-04,10001,966.46
2024-04,10002,607.07
2024-04,10003,547.06
2024-04,10004,1063.14
2024-04,10005,955.69
2024-04,10006,176.85
2024-04,10007,662.19
2024-04,10009,441.55
2024-04,10010,640.81
2024-04,10011,437.72
2024-04,10012,539.66
2024-04,10013,840.09
2024-04,10014,782.27
2024-04,10016,509.32
2024-04,10017,427.9
2024-04,10018,2062.38
2024-04,10019,612.52
2024-04,10020,2584.89
2024-04,10021,534.48
2024-04,10022,638.77
2024-04,10023,365.96
2024-04,10024,455.07
2024-04,10025,707.81
2024-04,10026,532.98
2024-04,10027,605.85
2024-04,10028,865.59
2024-04,10029,362.07
2024-04,10030,321.75
2024-04,10031,512.16
2024-04,10032,384.9
2024-04,10033,336.77
2024-04,10034,375.83
2024-04,10035,808.4
2024-04,10036,881.43
2024-04,10037,666.18
2024-04,10038,1067.58
2024-04,10039,277.67
2024-04,10040,399.01
2024-04,10041,127.13
2024-04,10044,246.19
2024-04,10045,1265.7
2024-04,10065,503.77
2024-04,10069,128.86
2024-04,10075,560.09
2024-04,10103,4409.13
2024-04,10105,818.01
2024-04,10106,7.56
2024-04,10107,-0.3
2024-04,10110,29.6
2024-04,10112,106.54
2024-04,10115,257.49
2024-04,10118,1224.47
2024-04,10119,2320.89
2024-04,10120,0.5
2024-04,10121,914.32
2024-04,10123,8040.77
2024-04,10128,598.97
2024-04,10151,6532.85
2024-04,10153,6037.34
2024-04,10154,1.67
2024-04,10158,-5.74
2024-04,10162,35.02
2024-04,10167,-5.46
2024-04,10168,1884.73
2024-04,10169,4.81
2024-04,10170,6.87
2024-04,10172,0.0
2024-04,10173,0.46
2024-04,10174,0.23
2024-04,10175,0.94
2024-04,10176,0.17
2024-04,10177,3.99
2024-04,10178,0.24
2024-04,10179,111.64
2024-04,10271,247.21
2024-04,10278,10.85
2024-04,10279,204.77
2024-04,10280,183.47
2024-04,10281,208.78
2024-04,10282,108.54
2024-04,10301,446.88
2024-04,10302,416.0
2024-04,10303,220.15
2024-04,10304,357.73
2024-04,10305,308.82
2024-04,10306,568.08
2024-04,10307,345.32
2024-04,10308,559.34
2024-04,10309,321.19
2024-04,10310,558.75
2024-04,10312,579.43
2024-04,10314,578.11
2024-04,10451,560.42
2024-04,10452,260.04
2024-04,10453,256.27
2024-04,10454,1477.95
2024-04,10455,668.29
2024-04,10456,204.9
2024-04,10457,228.13
2024-04,10458,244.09
2024-04,10459,336.0
2024-04,10460,240.47
2024-04,10461,218.75
2024-04,10462,199.96
2024-04,10463,175.82
2024-04,10464,1207.32
2024-04,10465,242.39
2024-04,10466,220.18
2024-04,10467,237.73
2024-04,10468,178.8
2024-04,10469,220.76
2024-04,10470,177.46
2024-04,10471,259.63
2024-04,10472,218.19
2024-04,10473,207.08
2024-04,10474,880.04
2024-04,10475,290.75
2024-04,10601,863.31
2024-04,10701,745.28
2024-04,10705,815.4
2024-04,10803,381.57
2024-04,11001,705.19
2024-04,11004,562.64
2024-04,11005,20.45
2024-04,11021,-10.41
2024-04,11040,245.7
2024-04,11101,236.72
2024-04,11102,327.72
2024-04,11103,238.85
2024-04,11104,339.12
2024-04,11105,351.9
2024-04,11106,260.56
2024-04,11109,343.16
2024-04,11201,571.2
2024-04,11203,331.73
2024-04,11204,444.34
2024-04,11205,296.99
2024-04,11206,360.19
2024-04,11207,357.66
2024-04,11208,292.52
2024-04,11209,318.17
2024-04,11210,303.73
2024-04,11211,568.98
2024-04,11212,660.02
2024-04,11213,272.28
2024-04,11214,276.95
2024-04,11215,470.8
2024-04,11216,489.18
2024-04,11217,280.68
2024-04,11218,822.46
2024-04,11219,321.27
2024-04,11220,377.56
2024-04,11221,415.33
2024-04,11222,368.16
2024-04,11223,364.49
2024-04,11224,224.7
2024-04,11225,322.18
2024-04,11226,343.61
2024-04,11228,429.57
2024-04,11229,899.91
2024-04,11230,427.22
2024-04,11231,322.49
2024-04,11232,234.76
2024-04,11233,385.04
2024-04,11234,375.66
2024-04,11235,369.57
2024-04,11236,317.24
2024-04,11237,326.01
2024-04,11238,374.22
2024-04,11239,47.91
2024-04,11241,1377.44
2024-04,11242,0.67
2024-04,11249,471.38
2024-04,11251,2.68
2024-04,11354,364.84
2024-04,11355,322.05
2024-04,11356,226.99
2024-04,11357,523.47
2024-04,11358,495.02
2024-04,11359,0.03
2024-04,11360,356.18
2024-04,11361,218.79
2024-04,11362,349.55
2024-04,11363,832.27
2024-04,11364,456.3
2024-04,11365,302.59
2024-04,11366,103.28
2024-04,11367,220.38
2024-04,11368,178.29
2024-04,11369,319.32
2024-04,11370,219.13
2024-04,11371,1641.06
2024-04,11372,375.15
2024-04,11373,252.01
2024-04,11374,216.56
2024-04,11375,459.57
2024-04,11377,245.52
2024-04,11378,181.0
2024-04,11379,414.03
2024-04,11385,376.75
2024-04,11411,287.22
2024-04,11412,297.34
2024-04,11413,483.26
2024-04,11414,644.57
2024-04,11415,338.51
2024-04,11416,240.16
2024-04,11417,372.55
2024-04,11418,284.11
2024-04,11419,739.65
2024-04,11420,442.85
2024-04,11421,159.2
2024-04,11422,436.48
2024-04,11423,304.14
2024-04,11426,466.74
2024-04,11427,363.95
